,Phases,Bus1,kV,Conn,kW,kvar,PF,kVA,%CutIn,%CutOut,EffCurve,VarFollowInverter,kvarMax,kvarMaxAbs,WattPriority,PFPriority,%PMinNoVars,%PMinkvarMax,kWRated,%kWRated,kWhRated,kWhStored,%Stored,%Reserve,State,%Discharge,%Charge,%EffCharge,%EffDischarge,%IdlingkW,%Idlingkvar,%R,%X,Model,VMinpu,VMaxpu,Balanced,LimitCurrent,Yearly,Daily,Duty,DispMode,DischargeTrigger,ChargeTrigger,TimeChargeTrig,Class,DynaDLL,DynaData,UserModel,UserData,DebugTrace,kVDC,Kp,PITol,SafeVoltage,SafeMode,DynamicEq,DynOut,ControlMode,AmpLimit,AmpLimitGain,Spectrum,BaseFreq,Enabled,Like
Storage.der_633_b_32,2,tlx_633_b_h_32.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_22,2,tlx_671_a_h_22.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_24,2,tlx_692_b_h_24.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_21,2,tlx_671_a_h_21.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_23,2,tlx_692_b_h_23.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_20,2,tlx_671_a_h_20.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_26,2,tlx_692_b_h_26.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_25,2,tlx_692_b_h_25.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_26,2,tlx_671_a_h_26.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_20,2,tlx_692_b_h_20.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_25,2,tlx_671_a_h_25.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_24,2,tlx_671_a_h_24.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_22,2,tlx_692_b_h_22.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_23,2,tlx_671_a_h_23.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_21,2,tlx_692_b_h_21.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_19,2,tlx_671_a_h_19.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_18,2,tlx_671_a_h_18.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_17,2,tlx_671_a_h_17.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_16,2,tlx_671_a_h_16.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_17,2,tlx_692_b_h_17.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_16,2,tlx_692_b_h_16.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_19,2,tlx_692_b_h_19.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_18,2,tlx_692_b_h_18.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_11,2,tlx_646_c_h_11.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_11,2,tlx_671_a_h_11.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_13,2,tlx_692_b_h_13.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_10,2,tlx_646_c_h_10.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_10,2,tlx_671_a_h_10.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_12,2,tlx_692_b_h_12.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_13,2,tlx_646_c_h_13.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_15,2,tlx_692_b_h_15.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_12,2,tlx_646_c_h_12.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_14,2,tlx_692_b_h_14.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_15,2,tlx_646_c_h_15.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_15,2,tlx_671_a_h_15.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_14,2,tlx_646_c_h_14.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_14,2,tlx_671_a_h_14.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_17,2,tlx_646_c_h_17.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_13,2,tlx_671_a_h_13.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_11,2,tlx_692_b_h_11.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_16,2,tlx_646_c_h_16.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_12,2,tlx_671_a_h_12.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_10,2,tlx_692_b_h_10.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_5,2,tlx_645_b_h_5.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_19,2,tlx_646_c_h_19.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_6,2,tlx_645_b_h_6.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_18,2,tlx_646_c_h_18.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_3,2,tlx_645_b_h_3.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_4,2,tlx_645_b_h_4.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_9,2,tlx_645_b_h_9.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_7,2,tlx_645_b_h_7.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_8,2,tlx_645_b_h_8.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_22,2,tlx_646_c_h_22.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_21,2,tlx_646_c_h_21.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_24,2,tlx_646_c_h_24.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_23,2,tlx_646_c_h_23.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_26,2,tlx_646_c_h_26.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_25,2,tlx_646_c_h_25.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_28,2,tlx_646_c_h_28.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_27,2,tlx_646_c_h_27.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_29,2,tlx_646_c_h_29.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_40,2,tlx_692_b_h_40.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_40,2,tlx_671_a_h_40.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_2,2,tlx_692_c_h_2.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_3,2,tlx_692_c_h_3.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_4,2,tlx_692_c_h_4.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_5,2,tlx_692_c_h_5.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_1,2,tlx_645_b_h_1.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_6,2,tlx_692_c_h_6.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_645_b_2,2,tlx_645_b_h_2.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_7,2,tlx_692_c_h_7.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_8,2,tlx_692_c_h_8.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_9,2,tlx_692_c_h_9.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_39,2,tlx_671_a_h_39.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_38,2,tlx_671_a_h_38.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_39,2,tlx_692_b_h_39.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_b_38,2,tlx_692_b_h_38.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_20,2,tlx_646_c_h_20.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_692_c_1,2,tlx_692_c_h_1.2.1,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_646_c_33,2,tlx_646_c_h_33.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
Storage.der_671_a_33,2,tlx_671_a_h_33.1.2,0.24,wye,-0.25,0,1,20,0,0,,No,20,20,No,No,0,0,25,100,500,250,50,20,Idling,100,100,90,90,1,,0,50,1,0.9001,1.1,No,Yes,,,,Default,0,0,2,1,,,,,No,8,0.01,0,80,No,,,GFL,-1,0.8,,60,Yes,
